"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.21493663358385e-08,8,117,44.5343101343101,"Xenobiotic metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006805"," MAOB  HSP90AB1  CYP3A5  CYP2J2  RORC  CYP2B6  UGT1A9  UGT1A4"
1.21493663358385e-08,8,125,41.6841142857143,"Cellular response to xenobiotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0071466"," MAOB  HSP90AB1  CYP3A5  CYP2J2  RORC  CYP2B6  UGT1A9  UGT1A4"
1.50923788802151e-08,8,135,38.5964021164021,"Response to xenobiotic stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009410"," MAOB  HSP90AB1  CYP3A5  CYP2J2  RORC  CYP2B6  UGT1A9  UGT1A4"
4.35547498500244e-07,4,10,260.525714285714,"CAMP catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006198"," PDE4A  PDE4C  PDE4D  PDE4B"
2.25255273836968e-06,4,15,173.68380952381,"Cyclic nucleotide catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009214"," PDE4A  PDE4C  PDE4D  PDE4B"
1.44702532309583e-05,4,24,108.552380952381,"CAMP metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046058"," PDE4A  PDE4C  PDE4D  PDE4B"
9.44518019019063e-05,4,39,66.8014652014652,"Purine ribonucleotide catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009154"," PDE4A  PDE4C  PDE4D  PDE4B"
0.0001121000078106,4,42,62.0299319727891,"Cyclic nucleotide metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009187"," PDE4A  PDE4C  PDE4D  PDE4B"
0.000120588074323609,4,44,59.2103896103896,"Ribonucleotide catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009261"," PDE4A  PDE4C  PDE4D  PDE4B"
0.000130178358660497,4,46,56.6360248447205,"Purine nucleotide catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006195"," PDE4A  PDE4C  PDE4D  PDE4B"
0.000180247402491971,4,51,51.0834733893557,"Purine-containing compound catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0072523"," PDE4A  PDE4C  PDE4D  PDE4B"
0.000664839957683839,4,72,36.184126984127,"Nucleotide catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0009166"," PDE4A  PDE4C  PDE4D  PDE4B"
0.000745169606387921,5,167,19.5004277159966,"Olefinic compound metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0120254"," CYP3A5  CYP2J2  CYP17A1  ALOX15  CYP2B6"
0.00100341428803535,8,710,7.33875251509054,"Aromatic compound catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019439"," PDE4A  MAOB  PDE4C  PDE4D  TARDBP  IDO1  PDE4B  UGT1A4"
0.00100341428803535,8,698,7.46492018010643,"Cellular nitrogen compound catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0044270"," PDE4A  PDE4C  CYP3A5  PDE4D  TARDBP  IDO1  PDE4B  UGT1A4"
0.00100341428803535,4,83,31.3886402753873,"Nucleoside phosphate catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1901292"," PDE4A  PDE4C  PDE4D  PDE4B"
0.00100341428803535,11,1500,4.77630476190476,"Organonitrogen compound catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1901565"," HSPA5  PDE4A  MAOB  HSP90AA1  HSP90AB1  PDE4C  CYP3A5  PDE4D  IDO1  PDE4B  UGT1A4"
0.00126738466351697,8,739,7.05076358012758,"Organic cyclic compound catabolic process "," http://amigo.geneontology.org/amigo/term/GO:1901361"," PDE4A  MAOB  PDE4C  PDE4D  TARDBP  IDO1  PDE4B  UGT1A4"
0.00136398489334202,6,352,11.1019480519481,"Steroid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0008202"," CYP3A5  HSD17B7  RORC  CYP17A1  CYP2B6  UGT1A4"
0.00172246397761338,3,34,57.4689075630252,"Protein refolding "," http://amigo.geneontology.org/amigo/term/GO:0042026"," HSPA5  HSP90AA1  FKBP1A"
0.00279037440449709,2,6,217.104761904762,"Positive regulation of tau-protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:1902949"," HSP90AA1  HSP90AB1"
0.00279037440449709,2,6,217.104761904762,"Telomerase holoenzyme complex assembly "," http://amigo.geneontology.org/amigo/term/GO:1905323"," HSP90AA1  HSP90AB1"
0.00284935686152067,3,42,46.5224489795918,"Positive regulation of protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0042307"," HSP90AB1  TARDBP  PIK3R1"
0.00314359758975382,3,44,44.4077922077922,"Positive regulation of protein import "," http://amigo.geneontology.org/amigo/term/GO:1904591"," HSP90AB1  TARDBP  PIK3R1"
0.00315256503576863,5,258,12.6223698781838,"Protein folding "," http://amigo.geneontology.org/amigo/term/GO:0006457"," HSPA5  HSP90AA1  FKBP1A  HSP90AB1  TRAP1"
0.00318002263099039,2,7,186.089795918367,"Negative regulation of relaxation of muscle "," http://amigo.geneontology.org/amigo/term/GO:1901078"," PDE4D  PDE4B"
0.00318002263099039,2,7,186.089795918367,"Regulation of relaxation of cardiac muscle "," http://amigo.geneontology.org/amigo/term/GO:1901897"," PDE4D  PDE4B"
0.00408465608163526,2,8,162.828571428571,"Adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process "," http://amigo.geneontology.org/amigo/term/GO:0086023"," PDE4D  PDE4B"
0.0045264452117504,7,691,6.59797395079595,"Heterocycle catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046700"," PDE4A  PDE4C  PDE4D  TARDBP  IDO1  PDE4B  UGT1A4"
0.00473889575647869,10,1555,4.18851630684428,"Lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006629"," CYP3A5  HSD17B7  CYP2J2  RORC  PIK3R1  CYP17A1  ALOX15  CYP2B6  UGT1A9  UGT1A4"
0.00473889575647869,2,9,144.736507936508,"Flavonoid glucuronidation "," http://amigo.geneontology.org/amigo/term/GO:0052696"," UGT1A9  UGT1A4"
0.00586407498317623,5,310,10.505069124424,"Rhythmic process "," http://amigo.geneontology.org/amigo/term/GO:0048511"," HSPA5  PGR  TARDBP  TOP2A  RORC"
0.00589491106850934,3,63,31.0149659863946,"Arachidonic acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0019369"," CYP2J2  ALOX15  CYP2B6"
0.00589491106850934,4,166,15.6943201376936,"Cellular hormone metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0034754"," CYP3A5  HSD17B7  CYP17A1  UGT1A9"
0.00589491106850934,3,62,31.5152073732719,"Regulation of protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0042306"," HSP90AB1  TARDBP  PIK3R1"
0.00589491106850934,4,163,15.9831726555653,"Organophosphate catabolic process "," http://amigo.geneontology.org/amigo/term/GO:0046434"," PDE4A  PDE4C  PDE4D  PDE4B"
0.00589491106850934,2,11,118.420779220779,"Xenobiotic glucuronidation "," http://amigo.geneontology.org/amigo/term/GO:0052697"," UGT1A9  UGT1A4"
