From	To
P14902	3620
P11142	3312
P11021	3309
Q9HAZ1	57396
Q9BZL6	25865
Q15078	8851
Q13627	1859
Q05655	5580
P67870	1460
P51946	902
P24864	898
P24385	595
P20248	890
P14635	891
P05771	5579
Q9Y243	10000
P17612	5566
O75116	9475
Q13148	23435
P04637	7157
Q8NEB9	5289
P78527	5591
P22612	5568
Q9UEE5	9263
Q9P1W9	11040
Q9HCP0	53944
Q9H2X6	28996
Q96SB4	6732
Q96GD4	9212
Q8WWL7	85417
O95067	9133
Q8TDC3	84446
Q8TD08	225689
Q8IW41	8550
Q7KZI7	2011
Q5VT25	8476
Q16513	5586
Q14012	8536
Q13976	5592
Q13188	6788
Q13153	5058
Q13131	5562
Q02750	5604
P68400	1457
P53350	5347
P51955	4751
P51817	5613
P51812	6197
P36507	5605
P31751	208
P31749	207
P29317	1969
P27448	4140
P78396	8900
P23443	6198
P11217	5837
P11216	5834
P06737	5836
O96020	9134
O96017	11200
O96013	10298
O75582	9252
O60656	54600
O43293	1613
O15530	5170
O14965	6790
O14757	1111
Q13526	5300
Q01453	5376
P05108	1583
P05093	1586
P56937	51478
P22310	54657
P08842	412
P11274	613
O15357	3636
Q99700	6311
Q96T88	29128
Q92830	2648
P84022	4088
P68871	3043
P43220	2740
P40225	7066
P61981	7532
P62993	2885
Q58F21	676
O00764	8566
Q12931	10131
P14625	7184
P08238	3326
P07900	3320
P42330	8644
Q15059	8019
P25440	6046
Q13490	329
P12314	2209
Q08499	5144
P27815	5141
Q07343	5142
Q08493	5143
P49810	5664
Q9NZ42	55851
Q92542	23385
Q96BI3	51107
P49768	5663
Q8WW43	83464
Q13563	5311
P06748	4869
O00141	6446
Q7RTN6	92335
Q06520	6822
P50225	6817
P49888	6783
P23141	1066
P20815	1577
P20813	1555
P0DMM9	445329
P0DMM9	6818
O43704	27284
O00748	8824
Q9Y2D0	11238
Q9ULX7	23632
Q8N1Q1	377677
Q16790	768
P43166	766
P40763	6774
P35218	763
P34913	2053
P23280	765
P22748	762
P18054	239
P10828	7068
P09917	240
P07451	761
P00915	759
P00403	4513
O43570	771
O15439	10257
O14684	9536
Q9H665	79713
