From	To
P14902	IDO1
P11142	HSPA8
P11021	HSPA5
Q9HAZ1	CLK4
Q9BZL6	PRKD2
Q15078	CDK5R1
Q13627	DYRK1A
Q05655	PRKCD
P67870	CSNK2B
P51946	CCNH
P24864	CCNE1
P24385	CCND1
P20248	CCNA2
P14635	CCNB1
P05771	PRKCB
Q9Y243	AKT3
P17612	PRKACA
O75116	ROCK2
Q13148	TARDBP
P04637	TP53
Q8NEB9	PIK3C3
P78527	PRKDC
P22612	PRKACG
Q9UEE5	STK17A
Q9P1W9	PIM2
Q9HCP0	CSNK1G1
Q9H2X6	HIPK2
Q96SB4	SRPK1
Q96GD4	AURKB
Q8WWL7	CCNB3
O95067	CCNB2
Q8TDC3	BRSK1
Q8TD08	MAPK15
Q8IW41	MAPKAPK5
Q7KZI7	MARK2
Q5VT25	CDC42BPA
Q16513	PKN2
Q14012	CAMK1
Q13976	PRKG1
Q13188	STK3
Q13153	PAK1
Q13131	PRKAA1
Q02750	MAP2K1
P68400	CSNK2A1
P53350	PLK1
P51955	NEK2
P51817	PRKX
P51812	RPS6KA3
P36507	MAP2K2
P31751	AKT2
P31749	AKT1
P29317	EPHA2
P27448	MARK3
P78396	CCNA1
P23443	RPS6KB1
P11217	PYGM
P11216	PYGB
P06737	PYGL
O96020	CCNE2
O96017	CHEK2
O96013	PAK4
O75582	RPS6KA5
O60656	UGT1A9
O43293	DAPK3
O15530	PDPK1
O14965	AURKA
O14757	CHEK1
Q13526	PIN1
Q01453	PMP22
P05108	CYP11A1
P05093	CYP17A1
P56937	HSD17B7
P22310	UGT1A4
P08842	STS
P11274	BCR
O15357	INPPL1
Q99700	ATXN2
Q96T88	UHRF1
Q92830	KAT2A
P84022	SMAD3
P68871	HBB
P43220	GLP1R
P40225	THPO
P61981	YWHAG
P62993	GRB2
Q58F21	BRDT
O00764	PDXK
Q12931	TRAP1
P14625	HSP90B1
P08238	HSP90AB1
P07900	HSP90AA1
P42330	AKR1C3
Q15059	BRD3
P25440	BRD2
Q13490	BIRC2
P12314	FCGR1A
Q08499	PDE4D
P27815	PDE4A
Q07343	PDE4B
Q08493	PDE4C
P49810	PSEN2
Q9NZ42	PSENEN
Q92542	NCSTN
Q96BI3	APH1A
P49768	PSEN1
Q8WW43	APH1B
Q13563	PKD2
P06748	NPM1
O00141	SGK1
Q7RTN6	STRADA
Q06520	SULT2A1
P50225	SULT1A1
P49888	SULT1E1
P23141	CES1
P20815	CYP3A5
P20813	CYP2B6
P0DMM9	SULT1A3
O43704	SULT1B1
O00748	CES2
Q9Y2D0	CA5B
Q9ULX7	CA14
Q8N1Q1	CA13
Q16790	CA9
P43166	CA7
P40763	STAT3
P35218	CA5A
P34913	EPHX2
P23280	CA6
P22748	CA4
P18054	ALOX12
P10828	THRB
P09917	ALOX5
P07451	CA3
P00915	CA1
P00403	MT-CO2
O43570	CA12
O15439	ABCC4
O14684	PTGES
Q9H665	IGFLR1
B2RXH2	KDM4E
P18084	ITGB5
P08514	ITGA2B
P18564	ITGB6
P05556	ITGB1
P08648	ITGA5
Q9UBE0	SAE1
Q06210	GFPT1
P54577	YARS1
P30085	CMPK1
P23284	PPIB
P10599	TXN
P07237	P4HB
Q9NWT8	AURKAIP1
Q15046	KARS1
Q9UNA4	POLI
P32320	CDA
P27707	DCK
P04183	TK1
O00142	TK2
Q8IV63	VRK3
Q13936	CACNA1C
Q01538	MYT1
O94925	GLS
P51589	CYP2J2
P46721	SLCO1A2
P20701	ITGAL
P08235	NR3C2
P06401	PGR
O95342	ABCB11
Q15118	PDK1
Q9UBM7	DHCR7
Q9H244	P2RY12
Q07817	BCL2L1
Q02880	TOP2B
P11388	TOP2A
P14550	AKR1A1
P11387	TOP1
P10415	BCL2
P08253	MMP2
P07477	PRSS1
P03905	MT-ND4
O95255	ABCC6
O43497	CACNA1G
O15438	ABCC3
Q9BXW9	FANCD2
P13726	F3
P13569	CFTR
P62942	FKBP1A
P52732	KIF11
Q9NYA1	SPHK1
Q9NRA0	SPHK2
Q9H228	S1PR5
Q99500	S1PR3
P21453	S1PR1
O95977	S1PR4
O95470	SGPL1
O95136	S1PR2
P19971	TYMP
O43868	SLC28A2
O15440	ABCC5
Q99808	SLC29A1
Q99895	CTRC
P31213	SRD5A2
P22760	AADAC
P18405	SRD5A1
P06280	GLA
P48775	TDO2
Q96B36	AKT1S1
P29474	NOS3
P56817	BACE1
O15296	ALOX15B
Q9NZJ5	EIF2AK3
Q9UIF9	BAZ2A
Q8IZX4	TAF1L
Q9Y6K1	DNMT3A
Q9UMN6	KMT2B
Q9H5I1	SUV39H2
Q99873	PRMT1
Q8WTS6	SETD7
Q8TEK3	DOT1L
Q8NEZ4	KMT2C
Q86X55	CARM1
Q53H47	SETMAR
Q09028	RBBP4
Q6ZN18	AEBP2
Q15022	SUZ12
O75530	EED
